user_id,recs
17,"[1053016, 9487497, 948670, 6534077, 6533608, 896085, 13877192, 892503, 1117128, 5569471, 978906, 833351, 1022827, 17974316, 17974317, 923559, 923746, 832678, 937489, 1039287, 944486, 7409941, 1082185, 1109352, 9553031, 1009344, 928036, 913806, 857849, 1068719, 842416, 972229, 995242, 1079541, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820]"
18,"[15596892, 15716195, 1038743, 831628, 15626756, 897098, 1076239, 7466845, 6533889, 1102248, 886291, 894494, 1053628, 925077, 854852, 1052912, 853235, 1068943, 1082185, 1041259, 1024629, 5575861, 15452803, 13877192, 907877, 822945, 8160430, 1116821, 919704, 847270, 13672062, 880228, 1084670, 839243, 834022, 1128477, 1029313, 1010766, 951197, 1017311, 914697, 7441668, 9677886, 951412, 859075, 840361, 948420, 923746, 1105616, 981760]"
19,"[1044078, 874972, 12811532, 1127758, 871061, 13003092, 950998, 866211, 905537, 877827, 1131438, 927110, 839162, 834117, 15596379, 859259, 12325184, 1043751, 1081177, 866937, 6533608, 1130458, 1081262, 964254, 1043766, 1096317, 858373, 850673, 1074333, 951561, 1106523, 6534178, 880377, 13008334, 1109948, 1029624, 837304, 8065410, 1054262, 12946027, 969866, 1022003, 9527542, 976335, 6391163, 1058779, 909894, 1008547, 16223193, 1083493]"
20,"[13512876, 1116242, 1086740, 1002850, 6534178, 875502, 6772859, 8090536, 6533765, 1075368, 931015, 878732, 7168739, 945611, 821556, 15595834, 1025522, 865330, 941532, 5592931, 10457177, 5564471, 1013807, 1126899, 995965, 6602478, 901772, 819112, 1058997, 1053460, 6443283, 1117034, 10149303, 878637, 913785, 995645, 1010424, 944419, 905217, 5563752, 883404, 866292, 823758, 1103823, 1016709, 971684, 5979156, 15716530, 849202, 15512011]"
22,"[1009567, 12756877, 1104604, 976199, 927191, 1023473, 1120511, 8119297, 1025641, 898494, 944836, 1082185, 6534178, 1073775, 1010578, 8144652, 15925349, 1070820, 912457, 1011259, 7441679, 1075505, 827656, 912704, 880150, 841220, 1059473, 869874, 6039994, 1018339, 904360, 897270, 858439, 1051110, 840173, 13115981, 1117358, 825749, 1047619, 16769972, 916758, 884120, 1057124, 906763, 932182, 840102, 15511891, 15506577, 977033, 962161]"
23,"[851819, 969568, 1075368, 1097018, 1032297, 1034176, 849202, 13034781, 9487286, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
24,"[15717278, 13189726, 986912, 1101010, 1132771, 1009368, 921504, 1077587, 1118393, 993638, 863885, 1041796, 1087851, 12988031, 7441873, 7442008, 7442307, 1106523, 935993, 903230, 1096036, 13512017, 8203451, 832185, 964977, 992956, 871756, 877447, 859237, 1013528, 15926910, 15926863, 15926887, 15926638, 1061971, 1092026, 1036501, 844165, 1068719, 883404, 849843, 831815, 1119879, 853904, 1050229, 1022003, 1011832, 1056762, 1113588, 1082185]"
25,"[6534178, 16733475, 12301100, 885863, 1070845, 979877, 1029743, 13213122, 9526431, 1110244, 13008065, 5568378, 1113584, 1027039, 5567037, 929018, 892920, 1000002, 1075175, 958023, 12731623, 934676, 991442, 866140, 1035386, 1004909, 989101, 9487421, 9487423, 992542, 948509, 855310, 1135768, 850841, 877226, 964871, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646]"
26,"[937454, 9297154, 13115539, 13382327, 961979, 5996608, 1042438, 991064, 1013572, 1094280, 9654982, 869150, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928]"
27,"[907491, 1016302, 1062860, 883186, 881529, 10182813, 1052833, 1057777, 1005861, 1077409, 12673243, 17214971, 15927661, 918733, 897449, 7409957, 9419470, 1082185, 1054383, 1101589, 959345, 1029252, 943833, 959409, 1003836, 17214679, 13190283, 1046584, 1138423, 1004436, 1017982, 1031923, 5566804, 13133557, 949965, 1136741, 13095517, 996425, 1019479, 13189890, 12731808, 12599756, 1133072, 1048373, 14025461, 1002558, 1065669, 1059308, 7167249, 1082185]"
28,"[870882, 14025442, 13416117, 916122, 1058185, 9655215, 6533911, 8090546, 6534881, 6534030, 839243, 13213604, 1054056, 1111623, 970869, 1005186, 13007514, 897493, 13115551, 826004, 903567, 877111, 1125724, 5996184, 827631, 926646, 1074594, 8119129, 944419, 896444, 913785, 15717069, 9270757, 883404, 1069979, 13039165, 1080601, 894357, 820352, 13506200, 964968, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590]"
29,"[1091365, 847270, 1110843, 970869, 1061933, 836793, 1065538, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177]"
30,"[6463742, 5591083, 5585701, 6534480, 1078346, 1049708, 12946027, 1031633, 1018316, 7409582, 1040781, 914190, 873203, 881805, 852793, 840361, 833025, 823758, 12810389, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186]"
31,"[5570383, 1056492, 948239, 5571261, 5569230, 5570467, 841220, 982469, 1082990, 1040807, 1082185, 921288, 860975, 1132789, 968480, 15452705, 8249443, 5978656, 1054424, 855916, 7169088, 7166865, 1136257, 1095100, 997907, 859075, 976199, 981760, 1123556, 1138487, 874058, 971709, 1096290, 1135578, 1063577, 7409621, 1013503, 1126899, 921744, 919427, 898847, 819765, 1058779, 1044895, 1013641, 1085780, 6534178, 900842, 1077410, 1081582]"
32,"[1024319, 8293440, 1098815, 1085872, 1057378, 932179, 1086942, 991575, 878996, 7168890, 1118479, 990688, 15452457, 824005, 1092354, 8293898, 1068715, 981760, 821867, 850633, 856619, 6979526, 999744, 1029723, 5587938, 1096343, 1051402, 1058997, 904755, 905868, 901452, 1137484, 953476, 1074172, 866149, 1045285, 907014, 947267, 868947, 15452082, 919158, 1025454, 911088, 6442762, 9221327, 12673066, 1133533, 1004906, 960551, 995785]"
33,"[9487572, 12172193, 9575181, 892580, 1106523, 9189920, 15972074, 1044299, 985119, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
34,"[1081177, 1050851, 1029743, 859154, 973476, 981760, 9835619, 1092026, 831390, 908531, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471]"
35,"[6423775, 1089888, 5591609, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476]"
36,"[1115576, 977497, 834662, 17105006, 909714, 13945201, 1067779, 7161379, 865174, 1070618, 845082, 1024306, 871061, 5587133, 848029, 969568, 865705, 1011215, 934172, 957164, 7409970, 14074037, 9420068, 1104649, 1097991, 925626, 962229, 944317, 10455568, 1045154, 962568, 13777278, 995628, 7443348, 1025457, 1085920, 949196, 965638, 870547, 865233, 1029743, 883404, 878996, 1038692, 5564901, 15973135, 863885, 1122447, 939605, 940947]"
37,"[1097001, 1067695, 844165, 1092026, 15595711, 6534178, 840634, 1073120, 5569792, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
39,"[933633, 1127716, 962967, 1080014, 840361, 951227, 845208, 836181, 7025203, 5568249, 1017201, 15596515, 969836, 892768, 962568, 835098, 13910086, 932741, 1042421, 6513713, 995785, 1041259, 1082185, 9677484, 1101449, 1049708, 961554, 13512828, 1077373, 1011394, 1013807, 1115098, 1093113, 12524365, 964835, 1025581, 838859, 872137, 833119, 999318, 907014, 1121699, 979987, 1126899, 12524019, 860037, 1034686, 981760, 942817, 15452171]"
40,"[15597127, 9487987, 6442787, 13186440, 5585510, 963868, 857503, 838554, 1079067, 1012556, 981686, 10356542, 15927935, 845208, 1055504, 7143068, 1133826, 1004250, 922895, 903325, 995785, 931635, 1007746, 962568, 884039, 1067820, 890999, 13416167, 912873, 12487752, 961889, 13189958, 1068982, 961554, 1075755, 12582106, 961023, 913210, 6534178, 1128240, 897954, 1083043, 5588365, 859075, 14024972, 12757544, 928092, 15971630, 1123454, 1053304]"
41,"[844740, 12810393, 5585510, 9419888, 9651582, 1082185, 6633342, 1047619, 13133971, 6034857, 862682, 865705, 1120009, 821556, 6961848, 13189861, 994928, 909714, 5567502, 15717057, 1058068, 1087754, 913210, 957951, 5569376, 1089184, 991024, 1096817, 10344971, 1051810, 8181516, 852864, 850058, 1044805, 5995445, 931608, 13072944, 974250, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843]"
42,"[837569, 943522, 13190153, 1064550, 15717070, 966695, 13190283, 13190673, 1060673, 916122, 976998, 1135460, 1082185, 1117500, 920432, 829621, 893811, 5995177, 1051211, 990440, 9834742, 6602697, 855557, 1114604, 15717272, 981760, 839656, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899]"
43,"[1106523, 1049918, 865330, 899038, 1120741, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208]"
46,"[898342, 846014, 1106271, 878996, 862335, 8090519, 932242, 987562, 853586, 926916, 1115098, 841159, 882247, 835618, 12731466, 7441725, 1121360, 911812, 7443166, 869577, 847025, 1066069, 1084028, 866211, 1039682, 16809173, 15596145, 962615, 857719, 1046587, 1001702, 1122358, 834117, 1064536, 845705, 12384806, 823704, 9268695, 12263016, 15717106, 949932, 1082185, 944249, 950935, 923723, 1071594, 955262, 9523079, 867188, 1098066]"
47,"[901397, 876042, 7410217, 859924, 1130893, 865511, 820165, 1055504, 1075175, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
48,"[897954, 1040346, 934639, 996064, 850990, 855916, 15596180, 880150, 831628, 9835509, 913144, 1080841, 979178, 1003257, 841905, 15736860, 10285335, 1028890, 868423, 1131550, 1040700, 1022119, 835482, 13944709, 15972228, 9485437, 857000, 15596488, 960718, 9487498, 16219167, 879564, 971585, 9445777, 13095319, 944376, 7410335, 15597118, 839454, 890533, 867460, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590]"
49,"[6534178, 863447, 823704, 874972, 15571171, 879049, 8156489, 967994, 936741, 1086061, 9368215, 916122, 15860306, 1070820, 901067, 1028715, 1107420, 1024306, 1042907, 1123842, 969980, 1110111, 904236, 899201, 1082185, 999250, 841236, 1054402, 6632909, 10204673, 5569471, 1126899, 12302069, 1139569, 1051882, 1129610, 1125391, 1011427, 840732, 846202, 911311, 874617, 990256, 1123467, 1115175, 839243, 940108, 1053530, 1096851, 862732]"
52,"[930118, 983261, 904997, 1039627, 1067779, 900802, 1112333, 1003600, 1072437, 972665, 962274, 979707, 1082185, 895652, 995785, 834484, 1056740, 962568, 837865, 1111236, 1088393, 915684, 13511916, 13512916, 965331, 878880, 1085983, 830850, 10285006, 9553047, 1074754, 1016539, 6039759, 907014, 1022119, 1060408, 1115553, 1030182, 850795, 878996, 937371, 841179, 995478, 9296804, 1038497, 1064478, 12984929, 10355865, 13417048, 819765]"
53,"[5569471, 14074671, 999858, 917732, 1031083, 1041928, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349]"
55,"[6602759, 17283348, 1116589, 9547020, 844165, 871756, 935393, 840361, 849843, 823758, 15926844, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531]"
56,"[5584832, 823626, 1044099, 15800945, 1058214, 973916, 1041259, 1082185, 860776, 1112333, 848471, 834484, 903325, 979707, 8090537, 1028621, 15596616, 834631, 15831322, 1009187, 853099, 917901, 1119051, 7433574, 6463775, 15972319, 15972408, 15972931, 7168521, 890344, 17106039, 1100972, 878636, 15452892, 820165, 7168417, 13986261, 12301100, 9803545, 878996, 1055504, 1006342, 13986739, 1068651, 839419, 1013321, 903239, 15716684, 9487780, 5569230]"
57,"[843891, 862070, 1011141, 17249614, 862725, 12781597, 12781914, 16769828, 12352400, 16769996, 952122, 9222020, 8293219, 9420288, 947147, 931108, 12757506, 861615, 17104444, 17105058, 16769709, 842264, 967929, 997907, 855557, 936723, 980447, 13774738, 977649, 975705, 1075170, 12670635, 5586440, 983278, 829852, 5592373, 13213150, 995785, 860776, 1106523, 989871, 940980, 918490, 877226, 16769917, 847270, 938911, 866227, 1100049, 882305]"
58,"[831628, 12731704, 958891, 1012713, 950282, 977780, 894494, 1040693, 869676, 979707, 6534178, 1025650, 870515, 1041259, 1082185, 834484, 970030, 1125837, 12456058, 12695508, 819487, 12731616, 17105399, 862852, 1062340, 1055425, 13158894, 961554, 825180, 1029372, 989824, 909714, 1028816, 5569374, 5569230, 5575861, 5569471, 888178, 1135476, 829802, 959219, 1070820, 13511555, 13381494, 1054539, 13008280, 1031419, 15596764, 924198, 13039578]"
59,"[1100927, 6034857, 12812261, 885863, 921504, 1000205, 10180397, 961554, 825749, 827802, 954355, 10457471, 5588942, 5582789, 847789, 7410288, 5587938, 909268, 16769965, 860776, 931870, 1115402, 1045586, 981760, 845208, 834484, 9912443, 1007642, 7410013, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707]"
60,"[17105530, 15512234, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476, 1053690]"
63,"[897733, 926958, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476, 1053690]"
64,"[874972, 1013928, 1068292, 1027478, 12988115, 1025611, 1115358, 832394, 12781666, 15972238, 8090539, 845269, 1106091, 898496, 13382073, 1114573, 819845, 1085983, 5569845, 1132789, 970371, 957839, 7409951, 1038171, 887503, 1004906, 962845, 937292, 12132685, 10351615, 9296821, 1074333, 8069230, 15972074, 987615, 9575330, 847491, 15715852, 949023, 896093, 839147, 13189892, 894236, 1020210, 966310, 869024, 1036699, 6919430, 970202, 7147142]"
65,"[5591814, 836952, 909510, 12781924, 5568228, 926449, 12330794, 1125197, 981240, 997907, 835347, 1135886, 1065331, 832760, 1052335, 992153, 1118012, 1058686, 970714, 963238, 888614, 1101725, 888575, 13511678, 13513297, 15740864, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484]"
67,"[15512234, 946458, 1108595, 1067200, 889904, 972320, 5565420, 867188, 7110357, 13911022, 1102927, 8116306, 993379, 844179, 15660079, 15596938, 870547, 1049788, 1010573, 908972, 10457532, 1133018, 819840, 1025650, 930283, 953476, 17105530, 8159917, 15831452, 1053287, 1104205, 1069566, 10285442, 13910823, 12649485, 868953, 1009047, 15831034, 918733, 866227, 1095275, 13986099, 948119, 893018, 1001702, 5996541, 1106523, 908531, 5592931, 861819]"
68,"[899624, 6904459, 1118033, 977798, 866778, 1075470, 919157, 1047349, 933835, 1101010, 15971801, 6534178, 1104146, 923746, 1133827, 1065593, 856772, 1092945, 913785, 1029743, 1013928, 1038746, 947798, 1050968, 934676, 884774, 845705, 1062782, 986760, 883404, 866140, 927191, 999134, 1013321, 1138125, 938700, 1082990, 12605952, 1039348, 963336, 1106523, 1082544, 831509, 1068719, 995242, 917826, 840361, 1110244, 885697, 1004906]"
69,"[12301100, 906335, 845163, 824180, 1135253, 1121053, 827656, 956486, 5574409, 823704, 857006, 14020920, 1124729, 905286, 1037631, 15452756, 1088555, 1059347, 835973, 5592931, 15926507, 1038325, 7025046, 918733, 1069621, 923849, 1043301, 944137, 1080414, 912902, 5585701, 6463742, 1037863, 960253, 938700, 1022072, 1075337, 1013321, 970365, 6534330, 965562, 897752, 1127470, 6391436, 1082185, 13841744, 899624, 12383809, 1119060, 866140]"
70,"[894236, 1055863, 1124729, 1039156, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025]"
71,"[1012517, 1008288, 852856, 12302069, 889904, 847790, 830156, 10149656, 856553, 877601, 1133299, 1115259, 909894, 1003188, 13133815, 1056509, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857]"
72,"[1032967, 8090521, 1001277, 6548453, 860776, 1082185, 5585510, 1070820, 8019681, 1005274, 991874, 839243, 951313, 9835408, 1103629, 819978, 835285, 1073775, 6979099, 12695977, 952981, 1077703, 1066685, 1067849, 855468, 1036401, 9859060, 967461, 889223, 12383754, 938596, 865705, 872137, 978906, 986947, 945805, 912553, 1077643, 1047226, 6979427, 970714, 867188, 914190, 1077951, 1069621, 961791, 908145, 1082185, 6534178, 1029743]"
73,"[8090521, 1110764, 1132956, 5568489, 890513, 14050428, 845774, 17214322, 848605, 994894, 1130581, 1082185, 1091858, 13512719, 13511916, 991092, 1070820, 886481, 9483753, 16219520, 16219303, 829291, 1079414, 1069003, 15630054, 15630069, 15630071, 9297561, 1071939, 1128016, 838563, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568]"
74,"[878996, 15972091, 5569374, 15973154, 959409, 1001148, 1082185, 1077143, 1106523, 901666, 890695, 1044078, 15926927, 1049788, 985922, 998373, 935284, 5584645, 5588238, 1078346, 977033, 949645, 937571, 849843, 849701, 919828, 907014, 1050310, 911812, 926422, 1126045, 1085369, 1005186, 9571047, 981760, 5591538, 901578, 1077555, 1131974, 960142, 830795, 850533, 1003836, 1127624, 15973034, 1043128, 1076056, 1043590, 1133018, 1082185]"
75,"[707683, 5552150, 721353, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476]"
76,"[16053142, 6034780, 901062, 909714, 860776, 1050883, 968215, 995785, 912146, 887503, 999657, 1064945, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928]"
